Sample ID,Genus,species,Collector,Collection_Number,Collection Year,Locality,Herbarium or silica collection,Raw_reads,clusters_total,clusters_hidepth,hetero_est,reads_consensus,loci_in_analysis,ploidy,notes
AcAu	,Acrostichum,aureum,S. P. Kinosian,62,2018,Australia,silica,3242322,165693,61008,0.019958,60066,158,diploid,
Cr01,Ceratopteris,cornuta,Fay,1116,1985,Sierra Leone,NY,38636,779,53,0.033779,50,2,diploid,
Cr02,Ceratopteris,cornuta,Fay,1097,1984,Sierra Leone,NY,312486,4837,2616,0.006755,2602,158,diploid,
Cr03,Ceratopteris,cornuta,R. B Faden,96,1996,Tanzania,US,3158814,355714,80597,0.020436,80045,7133,diploid,
Cr04,Ceratopteris,cornuta,A. D. A. Fay,1116,1985,Sierra Leone,US,3594355,484948,99787,0.017695,99190,6207,diploid,
Cr05,Ceratopteris,cornuta,C. J. Rothfels,4298,2012,Oman,UC,3031899,261194,43577,0.01676,42887,10021,diploid,
Cr06,Ceratopteris,cornuta,D. S. Erdman,U48-165,1948,Saudi Arabia,UC,229201,3898,2067,0.007671,2028,35,diploid,
Cr07,Ceratopteris,cornuta,A. Peter,40479,1926,Africa,UC,2207699,160572,73844,0.007538,73531,500,diploid,
Ga01,Ceratopteris,gaudichaudii,L. Raulerson,15656,1987,Guam,US,3223252,240241,107326,0.010133,106959,5847,allotetraploid,
Ga02,Ceratopteris,gaudichaudii,R. C. Ching,7787,1928,China,UC,3245850,94517,38225,0.009929,37816,758,allotetraploid,
Pt01,Ceratopteris,pteridoides,John D. Bruza,3121,1985,USA,NY,2955067,126149,64723,0.013743,64465,2648,allotetraploid,
Pt02,Ceratopteris,pteridoides,F. M. Givens,2229,n. d.,USA,NY,1892845,76569,47188,0.012402,47020,2792,allotetraploid,
Pt03,Ceratopteris,pteridoides,Mary W. Diddle,8289,1954,USA,NY,3142016,167797,47451,0.015895,46951,6001,allotetraploid,
Pt04,Ceratopteris,pteridoides,F. B. Matos,2324,2013,USA,NY,4076057,230204,37575,0.015216,36949,6751,allotetraploid,
Pt05,Ceratopteris,pteridoides,Robert R. Haynes,7640,,Venezuela,NY,2331777,68343,15038,0.01183,14867,1161,,removed due to poor quality
Pt06,Ceratopteris,pteridoides,"F. Delascio, R. Montes, & G. Davidse",11181,1981,Venezuela,UC,1590166,19598,10601,0.012211,10461,411,,removed due to poor quality
Pt07,Ceratopteris,pteridoides,J. C. Solomon,7651,1982,Bolivia,UC,2517358,142339,68788,0.019687,68301,5158,allotetraploid,
Pt08,Ceratopteris,pteridoides,D. S. Conant,948,1974,Brazil,VT,335036,2159,835,0.012379,812,20,,removed due to poor quality
